,is_BVN_correct_on_ICAD,is_first_name_correct_on_ICAD,is_Middle_name_correct_on_ICAD,is_Surname_correct_on_ICAD,is_DOB_correct_on_ICAD
True,2.0,2.0,1,,1
False,,,1,2.0,1
